signal_number;date;side;signal;text;sources;;;;;;;;;;;;;;;;;;;;;
236;25 May 2023;R;R5;"Shoigu and Lukashenko signed an agreement to store Russian nuclear weapons in Belarus; Lukashenko: the relocation of nuclear weapons had begun.";"Yuras Karmanau “Russia signs deal to deploy tactical nuclear weapons in Belarus,” AP News, May 25, 2023
[https://apnews.com/article/belarus-russia-nuclear-weapons-shoigu-285ff887e8b1c28d20ff68e1d775441e];
and “Belarus’ president says transfer of tactical nuclear weapons from Russia has already started,” The Guardian,
May 25, 2023 [https://www.theguardian.com/world/live/2023/may/25/russia-ukraine-war-live-updates-
russian-rebels-belgorod-attack-raid-anti-putin-militia-latest-news?filterKeyEvents=false&page=with:block-
646f7fea8f08e69f06831877#block-646f7fea8f08e69f06831877].";;;;;;;;;;;;;;;;;;;;;
237;25 May 2023;W;W2;Miller: The use of chemical, biological or nuclear weapons in the conflict would be met with “severe consequences.”;"“US condemns Russia moving nuclear weapons to Belarus, will not adjust nuclear posture,” Reuters, May 25,
2023 [https://www.reuters.com/world/europe/us-condemns-russia-moving-nuclear-weapons-belarus-will-
not-adjust-nuclear-2023-05-25/].";;;;;;;;;;;;;;;;;;;;;
238;26 May 2023;R;R2;Medvedev: Russia would launch a pre-emptive strike if Ukraine got nuclear weapons - West was seriously underestimating the risk of nuclear war.;"“Медведев допустил, что конфликт на Украине затянется на десятилетия,” Ria Novosti, May 26, 2023
[https://ria.ru/20230526/desyatiletiya-1874241221.html]; and Guy Faulconbridge, “Russia's Medvedev:
Ukraine conflict may last for decades, no talks with Zelenskiy,” Reuters, May 26, 2023
[https://www.reuters.com/world/europe/russias-medvedev-warns-west-is-underestimating-risks-nuclear-
escalation-over-2023-05-26/]; and “War in Ukraine could last ‘decades,’ ex-Russian leader says,” Politico, May
26, 2023 [https://www.politico.eu/article/war-ukraine-could-last-decades-russia-dmitry-medvedev/].";;;;;;;;;;;;;;;;;;;;;
239;27 May 2023;R;R6;Kelin: Russia warned that Western supplies to Ukraine risked escalating the war to a new dimension “which we do not need and we do not want.”;"“Ukraine war: Russian Ambassador Andrei Kelin issues warning of escalation in Ukraine,” BBC, May 27, 2023
[https://www.bbc.com/news/uk-politics-65720980]; and “Ukraine war live: Russia hasn’t started to act
‘seriously’ yet in Urkaine, Russian ambassador says,” The Guardian, May 28, 2023
[https://www.theguardian.com/world/live/2023/may/28/russia-ukraine-war-live-russia-unleashes-major-
drone-attack-as-kyiv-prepares-to-celebrate-birthday].";;;;;;;;;;;;;;;;;;;;;
240;6 June 2023;R;R6;Lavrov: Western F-16s can “accommodate” nuclear weapons and supplying Ukraine with such fighter aircraft would escalate the conflict further.;"“Russia says U.S.-built F-16s could 'accommodate' nuclear weapons if sent to Ukraine,” Reuters, June 6, 2023
[https://www.reuters.com/world/russia-says-us-built-f-16s-could-accommodate-nuclear-weapons-if-sent-
ukraine-2023-06-06/].";;;;;;;;;;;;;;;;;;;;;
241;6 June 2023;W;W8;Kirby: Biden had been consistent that he did not want to see the war escalate, certainly not into the nuclear realm.;"“Russia says U.S.-built F-16s could 'accommodate' nuclear weapons if sent to Ukraine,” Reuters, June 6, 2023
[https://www.reuters.com/world/russia-says-us-built-f-16s-could-accommodate-nuclear-weapons-if-sent-
ukraine-2023-06-06/].";;;;;;;;;;;;;;;;;;;;;
242;9 June 2023;R;R5;"Putin: Russia would start to deploy tactical nuclear weapons in Belarus after the facilities were ready on 7-8 July; with everything “going according to plan.”";"“Putin says tactical nuclear weapons to be deployed in Belarus in July,” Reuters, June 9, 2023
[https://www.reuters.com/world/europe/russia-deploy-tactical-nuclear-weapons-belarus-july-putin-says-
2023-06-09/]; and Anton Gerashchenko, “’The necessary facilities’ for placing Russian nuclear weapons in
Belarus,“ Twitter @Gerashchenko_en, June 9, 2023
[https://twitter.com/Gerashchenko_en/status/1667148214493929473?s=20].";;;;;;;;;;;;;;;;;;;;;
243;13 June 2023;R;R2;Lukashenka: the nuclear warheads Belarus received were 3 times more powerful than those dropped on Hiroshima and Nagasaki, and there would be “no hesitation” to use them “in the event of an aggression against us.”;"“Lukashenko: No hesitation to use nuclear weapons in response to aggression on Belarus,” BELTA, June 13,
2023 [https://eng.belta.by/president/view/lukashenko-no-hesitation-to-use-nuclear-weapons-in-response-to-
aggression-on-belarus-159580-2023/]; and “Belarus starts taking delivery of Russian nuclear weapons,” Reuters,
June 14, 2023 [https://www.reuters.com/world/europe/belarus-has-started-taking-delivery-russian-tactical-
nuclear-weapons-president-2023-06-14/].";;;;;;;;;;;;;;;;;;;;;
244;16 June 2023;R;R1;"Putin: use of nuclear weapons was possible if Russia's territorial integrity, independence and sovereignty was threatened; Russia had more nuclear weapons than NATO";"“Putin warns NATO over being drawn into Ukraine war, says Russia has more nuclear weapons,” CNN, June 17,
2023 [https://edition.cnn.com/2023/06/17/europe/nato-danger-ukraine-war-putin-intl-hnk/index.html];
“Putin says Russia put nuclear bombs in Belarus as warning to West,” Reuters, June 17, 2023
[https://www.reuters.com/world/europe/putin-says-russia-positions-nuclear-bombs-belarus-warning-west-
2023-06-16/].";;;;;;;;;;;;;;;;;;;;;
245;20 June 2023;R;R6;Shoigu: An attack on Russian territory, including Crimea, with missiles would mean the full involvement of the US and UK in the conflict.;"“Russia warns Ukraine against striking Crimea with U.S., British missiles,” Reuters, June 20, 2023
[https://www.reuters.com/world/europe/russia-warns-ukraine-against-striking-crimea-with-us-british-
missiles-2023-06-20/].";;;;;;;;;;;;;;;;;;;;;
246;20 June 2023;R;R2;Shoigu: Russia would respond with immediate strikes on decision-making centers in Ukraine.;"“Russia warns Ukraine against striking Crimea with U.S., British missiles,” Reuters, June 20, 2023
[https://www.reuters.com/world/europe/russia-warns-ukraine-against-striking-crimea-with-us-british-
missiles-2023-06-20/].";;;;;;;;;;;;;;;;;;;;;
247;25 June 2023;W;W8;US officials: the US was not involved in the Wagner mutiny, Moscow should abstain from nuclear escalation.;"Alexander Ward, Lili Bayer, Suzanne Lynch and Cristina Gallardo, “West after Wagner rebellion: Talk softly
and help Ukraine carry a bigger stick,” Politico, June 26, 2023 [https://www.politico.eu/article/ukraine-
counteroffensive-russia-wagner-rebellion/]; and Michael R. Gordon and Alan Cullison, “Wagner Mutiny Revives
U.S. Fears Over Control of Russia’s Nuclear Weapons,” Wallstreet Journal, June 25, 2023
[https://www.wsj.com/articles/wagner-mutiny-revives-u-s-fears-over-control-of-russias-nuclear-weapons-
29319369];  Jeff Mason, Steve Holland and Simon Lewis, “Biden: US, allies not involved in uprising against Putin,” Reuters,
June 26, 2023 [https://www.reuters.com/world/biden-us-allies-not-involved-uprising-against-putin-2023-06-
26/]; Julian E. Barnes, “The director of the C.I.A. called the Kremlin to make clear the U.S. had no tie to Wagner’s
rebellion,” The New York Times, June 30, 2023 [https://www.nytimes.com/2023/06/30/world/europe/cia-
william-burns-russia-wagner-rebellion.html?searchResultPosition=1]; “Russia checking if Western agencies were involved in mutiny: foreign minister,” Reuters, June 26, 2023
[https://www.reuters.com/world/europe/russia-checking-if-western-agencies-were-involved-mutiny-foreign-
minister-2023-06-26/].";;;;;;;;;;;;;;;;;;;;;
248;25 June 2023;W;W6;Blinken: Russian instability was of concern, but US saw “no change” in Russia’s nuclear posture.;"Alexander Ward, Lili Bayer, Suzanne Lynch and Cristina Gallardo, “West after Wagner rebellion: Talk softly
and help Ukraine carry a bigger stick,” Politico, June 26, 2023 [https://www.politico.eu/article/ukraine-
counteroffensive-russia-wagner-rebellion/]; and Michael R. Gordon and Alan Cullison, “Wagner Mutiny Revives
U.S. Fears Over Control of Russia’s Nuclear Weapons,” Wallstreet Journal, June 25, 2023
[https://www.wsj.com/articles/wagner-mutiny-revives-u-s-fears-over-control-of-russias-nuclear-weapons-
29319369];  Jeff Mason, Steve Holland and Simon Lewis, “Biden: US, allies not involved in uprising against Putin,” Reuters,
June 26, 2023 [https://www.reuters.com/world/biden-us-allies-not-involved-uprising-against-putin-2023-06-
26/]; Julian E. Barnes, “The director of the C.I.A. called the Kremlin to make clear the U.S. had no tie to Wagner’s
rebellion,” The New York Times, June 30, 2023 [https://www.nytimes.com/2023/06/30/world/europe/cia-
william-burns-russia-wagner-rebellion.html?searchResultPosition=1]; “Russia checking if Western agencies were involved in mutiny: foreign minister,” Reuters, June 26, 2023
[https://www.reuters.com/world/europe/russia-checking-if-western-agencies-were-involved-mutiny-foreign-
minister-2023-06-26/].";;;;;;;;;;;;;;;;;;;;;
249;25 June 2023;R;R8;Lavrov said Biden’s statement that the threat of Russia using tactical nuclear weapons was “real” were “verbal escapades” that had “no foundation”.;"“Foreign Minister Sergey Lavrov’s answers to questions from Moscow. Kremlin. Putin programme, June 25,
2023,” Ministry of Foreign Affairs of the Russian Federation, June 25, 2023
[https://mid.ru/en/foreign_policy/news/1892818/].";;;;;;;;;;;;;;;;;;;;;
250;30 June 2023;R;R1;Lukashenka: As long as Belarus had Russian nuclear weapons, Minsk would never have to use them.;"BelTA News Agency, “Зачем Лукашенко всё рассказал? | Что за генерал помог выйти на Пригожина?
Какую бомбу привёз Хренин? (Why did Lukashenko reveal everything? Who helped contact Prigozhin? What
bomb did Khrenin bring?),” Youtube, June 30, 2023 [https://www.youtube.com/watch?v=vbxhc0CBJLM]; “Poland wants to take part in NATO’s Nuclear Sharing program — Prime Minister,” TASS, June 30, 2023
[https://tass.com/world/1641173].";;;;;;;;;;;;;;;;;;;;;
251;30 June 2023;R;R6;Lavrov and Putin: The use of nuclear weapons was contingent on the actions of the West.;"“Russian Offensive Campaign Assessment, June 30, 2023,” ISW Press, June 30, 2023
[https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-june-30-2023].";;;;;;;;;;;;;;;;;;;;;
252;01 July 2023;R;R7;Ryabkov: West is to blame for deteriorating arms control, Russian nuclear deployments to Belarus merely a response to Western actions, similar to US nuclear sharing.;"Arthem Popv, “Sergei Ryabkov: An uncontrolled nuclear arms race will be disastrous,” TASS, July 1, 2023
[https://tass.ru/interviews/18161669].";;;;;;;;;;;;;;;;;;;;;
253;02 July 2023;R;R6;Medvedev: Nuclear war would result in “no winners” and lead to “nuclear winter” and such an apocalypse is “not only possible, but also quite probable.”;"Dmitry Medvedev, “The era of confrontation,” RGRU, July 2, 2023 [https://rg.ru/2023/07/02/epoha-
protivostoianiia.html].";;;;;;;;;;;;;;;;;;;;;
254;06 July 2023;R;R1;Lukashenka claims he has a “veto” over Russia’s nuclear use on Belarusian territory, but warns of an “instantaneous” response to any Western aggression.;"“Lukashenko: I have veto over use of Russian nuclear weapons in Belarus,” Euractiv, July 7, 2023
[https://www.euractiv.com/section/global-europe/news/lukashenko-i-have-veto-over-use-of-russian-nuclear-
weapons-in-belarus/]; Steve Rosenberg, “Lukashenko: No one came out of mutiny a hero, Belarus leader tells BBC,” BBC, July 6, 2023
[https://www.bbc.com/news/world-europe-66122337].";;;;;;;;;;;;;;;;;;;;;
255;11 July 2023;W;W2;NATO Summit Communiqué warns of severe consequences for any Russian use of chemical, biological, radiological, or nuclear weapons.;"“Vilnius Summit Communiqué,” NATO, July 11, 2023
[https://www.nato.int/cps/ge/natohq/official_texts_217320.htm].";;;;;;;;;;;;;;;;;;;;;
256;11 July 2023;R;R6;Medvedev says World War III is getting closer due to NATO summit and “it is time to unpack our arsenals of these inhumane weapons.”;Dmitrij Anatol'evič Medvedev, Telegram, July 11, 2023 [https://t.me/medvedev_telegram/353].;;;;;;;;;;;;;;;;;;;;;
257;12 July 2023;R;R2;Lavrov: US sending F-16s to Ukraine would pose nuclear threat as these jets can carry nuclear weapons – NATO is creating existential threat to Russia through proxy war – Moscow will defend its sovereignty “using all available means.”;"“Press release on the results of the NATO summit in Vilnius, July 11-12, 2023,” Ministry of Foreign Affairs of the
Russian Federation, July 12, 2024 [https://mid.ru/en/foreign_policy/news/1896645/].";;;;;;;;;;;;;;;;;;;;;
258;21 July 2023;R;R2;Putin warns that any aggression against Belarus will be treated as aggression against Russia and “we will respond… with all the means at our disposal.”;"“Soveschaniye s postoyannymi chlenami Soveta Bezopasnosti [Meeting with permanent members of the
Security Council],” President of Russia, July 21, 2023 [http://kremlin.ru/events/security-council/71714].";;;;;;;;;;;;;;;;;;;;;
259;21 July 2023;R;R8;Ulyanov says Russia intends to respect New START’s quantitative limits and remains ready to exchange ICBM launch data.;"“Интервью Ульянов 2 (Interview Ulyanov 2),” Izvestia July 21, 2023 [https://iz.ru/1547125/video/interviu-
ulianov-2]; “Интервью Ульянов 3 (Interview Ulyanov 3),” Izvestia, July 21, 2023 [https://iz.ru/1547126/video/interviu-
ulianov-3].";;;;;;;;;;;;;;;;;;;;;
260;30 July 2023;R;R2;Medvedev: If a NATO-supported Ukrainian offensive seized Russian territory, Moscow would use nuclear weapons as “there would simply be no other way out.”;Dmitry Medvedev, X, July 30, 2023 [https://x.com/MedvedevRussiaE/status/1685573843094544384].;;;;;;;;;;;;;;;;;;;;;
261;3 August 2023;R;R7;At the UN, Russia asserts its nuclear policy was “exclusively defensive,” rendered necessary by NATO’s “malicious expansion.”;"“Statement by the Delegation of the Russian Federation at the First Session of the Preparatory Committee for
the 11th Review Conference of the Parties to the Treaty on the Non-Proliferation of Nuclear Weapons (Cluster 1:
nuclear disarmament), Vienna,” The Ministry of Foreign Affairs of the Russian Federation, August 3, 2023
[https://mid.ru/en/foreign_policy/news/1900234/]";;;;;;;;;;;;;;;;;;;;;
262;11 August 2023;R;R8;Russian Foreign Ministry repeats that “nuclear war cannot be won and must never be fought,” but Moscow takes “all necessary measures” for security.;"“Press release on the decision adopted by Russia, the UK and the United States regarding the de-targeting of
strategic nuclear missiles,” The Ministry of Foreign Affairs of the Russian Federation, August 11, 2023
[https://mid.ru/en/foreign_policy/news/1900309/]; “Lukashenko against severing ties with EU,” Belta, August 12, 2023
[https://eng.belta.by/president/view/lukashenko-against-severing-ties-with-eu-160927-2023/]";;;;;;;;;;;;;;;;;;;;;
263;14 August 2023;R;R3;During routine exercise, Russian strategic bombers enter UK and Dutch airspace.;"“Long-Range Aviation aircraft perform scheduled flights in airspace over neutral waters of Baltic, Barents,
Norwegian, East Siberian, Chukchi, Beaufort seas and Arctic Ocean,” Ministry of Defence of the Russian Federation,
August 14, 2023 [https://eng.mil.ru/en/news_page/country/more.htm?id=12475851@egNews]; Gov.uk, “Press release: RAF Typhoon jets intercept Russian bombers flying north of Scotland”, 14 August 2023.
[https://www.gov.uk/government/news/raf-typhoon-jets-intercept-russian-bombers-flying-north-of-scotland];
and Bizjets of War, X, August 14, 2023
[https://x.com/bizjetsofwar/status/1691000811592011777?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembe
d%7Ctwterm%5E1691000811592011777%7Ctwgr%5E9edc9d846e42ee9778d81316c30a00f17874693a%7Ct
wcon%5Es1_c10&ref_url=https%3A%2F%2Fwww.i24news.tv%2Fen%2Fnews%2Finternational%2Feurope%2
F1692003986-two-russian-bombers-intercepted-before-entering-dutch-nato-airspace]";;;;;;;;;;;;;;;;;;;;;
264;17 August 2023;R;R1;Lukashenka: Belarus will not use nuclear weapons unless faced with aggression […].;"""Interview with Ukrainian journalist Diana Panchenko,” President of the Republic of Belarus, August 17, 2023
[https://president.gov.by/en/events/intervyu-ukrainskoy-zhurnalistke-diane-panchenko-1692341583].";;;;;;;;;;;;;;;;;;;;;
265;17 August 2023;R;R6;Lukashenka:[…] but NATO war with Russia and Belarus would lead to a global nuclear war.;"""Interview with Ukrainian journalist Diana Panchenko,” President of the Republic of Belarus, August 17, 2023
[https://president.gov.by/en/events/intervyu-ukrainskoy-zhurnalistke-diane-panchenko-1692341583].";;;;;;;;;;;;;;;;;;;;;
266;19 August 2023;R;R6;Lavrov: Russia’s nuclear policy is “strictly defensive” and nuclear war is “unacceptable,” but nuclear weapons are “only possible response” to current threats.;"""Foreign Minister Sergey Lavrov’s Interview with The International Affairs Journal,” Ministry of Foreign Affairs
of the Russian Federation, August 19, 2023 [https://mid.ru/en/foreign_policy/news/1900998/].";;;;;;;;;;;;;;;;;;;;;
267;5 September 2023;R;R6;Zakharova: Russia would see US nuclear deployments to UK as “escalation” and “destabilizing.” NATO’s joint exercises increase “strategic risks,” Russia would take “compensatory countermeasures.”;"“Briefing by Foreign Ministry Spokeswoman Maria Zakharova, September 5, 2023,” The Ministry of Foreign
Affairs of the Russian Federation, September 5, 2023 [https://mid.ru/en/foreign_policy/news/1903108/].";;;;;;;;;;;;;;;;;;;;;
268;7 September 2023;R;R6;Ryabkov: US withdrawal from INF Treaty and rising military spending create “potential negative scenarios.”;"“Remarks by the Deputy Foreign Minister of the Russian Federation Sergey Ryabkov at the Regional seminar
""Strengthening the nuclear non-proliferation regime"" Bishkek,” The Ministry of Foreign Affairs of the Russian
Federation, September 7, 2023 [https://mid.ru/en/foreign_policy/news/1903477/].";;;;;;;;;;;;;;;;;;;;;
269;12 September 2023;R;R6;Putin: Unclear whether the West aims to provoke retaliatory strikes on Ukrainian nuclear sites – his warnings are the “truth,” not “nuclear blackmail.”;"“Plenary session of the 8th Eastern Economic Forum,” President of Russia, September 12, 2023
[http://en.kremlin.ru/events/president/news/72259]";;;;;;;;;;;;;;;;;;;;;
270;13 September 2023;R;R6;Zakharova: US and NATO’s “assertive involvement” in Ukraine risks direct military clashes between nuclear states, potentially causing a “catastrophe.”;"“Briefing by Foreign Ministry Spokeswoman Maria Zakharova on the sidelines of the Eastern Economic Forum,
Vladivostok, September 13, 2023”, The Ministry of Foreign Affairs of the Russian Federation, September 13, 2023
[https://mid.ru/en/foreign_policy/news/1904207/#129].";;;;;;;;;;;;;;;;;;;;;
271;17 September 2023;R;R6;Lavrov: US is training Ukraine for a “strategic defeat” of Russia and may supply long-range depleted uranium munitions, but this won’t alter the conflict.;"“Foreign Minister Sergey Lavrov’s answer to a question from the Moscow. Kremlin. Putin programme,
Vladivostok, September 17, 2023,” The Ministry of Foreign Affairs of the Russian Federation, September 17, 2023
[https://mid.ru/en/foreign_policy/news/1904777/].";;;;;;;;;;;;;;;;;;;;;
272;19 September 2023;W;W7;The G7 FM meeting condemned Russia’s “irresponsible nuclear rhetoric,” called threats to deploy nuclear weapons in Belarus “unacceptable,”[…].;"“G7 Foreign Ministers’ Meeting at the High-Level Week of the United Nations General Assembly,” U.S.
Department of State, September 19, 2023 [https://www.state.gov/g7-foreign-ministers-meeting-at-the-high-
level-week-of-the-united-nations-general-assembly/].";;;;;;;;;;;;;;;;;;;;;
273;19 September 2023;W;W2;[…]  and warned of “severe consequences” if Russia used chemical, biological, or nuclear weapons.;"“G7 Foreign Ministers’ Meeting at the High-Level Week of the United Nations General Assembly,” U.S.
Department of State, September 19, 2023 [https://www.state.gov/g7-foreign-ministers-meeting-at-the-high-
level-week-of-the-united-nations-general-assembly/].";;;;;;;;;;;;;;;;;;;;;
274;19 September 2023;W;W7;Blinken condemned Russia’s “reckless nuclear saber-rattling” and nuclear weapons deployment in Belarus that risked “catastrophic consequences.”;"“Secretary Antony J. Blinken At United Nations Security Council Ministerial Meeting on Ukraine,” U.S.
Department of State, September 20, 2023 [https://www.state.gov/secretary-antony-j-blinken-at-united-nations-
security-council-ministerial-meeting-on-ukraine/]";;;;;;;;;;;;;;;;;;;;;
275;1 October 2023;R;R6;Medvedev: Russia would consider “British NATO specialists” in Ukraine a “legal target” – Western “morons” are “actively pushing us towards World War III.”;Medvedev, Telegram, October 1, 2023 [https://t.me/s/medvedev_telegram?before=449].;;;;;;;;;;;;;;;;;;;;;
276;4 October 2023;R;R6;Zakharova: Europeans don’t realize US nuclear weapons are on their soil, beyond their leaders’ control. Sobolev: Russia’s nuclear weapons are “ready for use” but only if “the collective West uses them.”;"“Briefing with Foreign Ministry Spokeswoman Maria Zakharova, Moscow, October 4, 2023,” The Ministry of
Foreign Affairs of Russian Federation,” October 4, 2023 [https://mid.ru/en/foreign_policy/news/1907469/]; “Последствия на тысячелетия». Реакции на слова Симоньян о ядерном взрыве над Сибирью,” RTVI,
October 4, 2023 [https://rtvi.com/news/posledstviya-na-tysyacheletiya-reakczii-na-simonyan/]";;;;;;;;;;;;;;;;;;;;;
277;4 October 2023;R;R8;Peskov rejects the idea of testing a “thermonuclear bomb over Siberia” as a warning to the West – Russia remains committed to the “nuclear testing denial regime.”;"Последствия на тысячелетия». Реакции на слова Симоньян о ядерном взрыве над Сибирью,” RTVI,
October 4, 2023 [https://rtvi.com/news/posledstviya-na-tysyacheletiya-reakczii-na-simonyan/].";;;;;;;;;;;;;;;;;;;;;
278;4 October 2023;R;R6;Yermakov criticizes the West for risking direct nuclear conflict and warns US deployment of INF-banned weapons risks escalation.;"“Statement by Vladimir Yermakov, Head of the Delegation of the Russian Federation, Director of the Department
for Non-proliferation and Arms Control of the Ministry of Foreign Affairs of the Russian Federation, at the General
Debate in the First Committee of the 78th session of the UN General Assembly, New York, 4 October 2023,” The
Ministry of Foreign Affairs of the Russian Federation, October 4, 2023
[https://mid.ru/en/foreign_policy/news/1907770/]";;;;;;;;;;;;;;;;;;;;;
279;5 October 2023;R;R1;"Putin reaffirms Russia’s nuclear doctrine – two conditions for nuclear use: retaliatory strike against nuclear attack, and existential threat to the state; doctrine remains unchanged as no current threat endangers Russian statehood. But Russia will respond “tit-for-tat” to the US over its non-ratification of the CTBT.";"""Valdai International Discussion Club meeting,” President of Russia, October 5, 2023
[http://en.kremlin.ru/events/president/news/72444].";;;;;;;;;;;;;;;;;;;;;
280;6 October 2023;R;R4;Peskov says Putin had “allowed the possibility” of revoking Russia’s CTBT ratification to “bring things to a common denominator.”;"“The Kremlin has spoken out about nuclear tests,” Smotrim, October 6, 2023
[https://smotrim.ru/article/3587894].";;;;;;;;;;;;;;;;;;;;;
281;6 October 2023;R;R6;Volodin accuses Washington and Brussels of “launching a war against our country” and calls successful test of Burevestnik vital for Russia’s security.;"“Vyacheslav Volodin: issue of de-ratifying the Comprehensive Nuclear-Test-Ban Treaty will be considered at the
next meeting of the State Duma Council,” The State Duma, October 6, 2023
[http://duma.gov.ru/en/news/57993/].";;;;;;;;;;;;;;;;;;;;;
282;10 October 2023;R;R6;Ryabkov: US nuclear test preparations in Nevada could force Russia to act against “extremely negative scenarios.”;"“Article by Foreign Minister Sergey Lavrov, October 10, 2023,” The Ministry of Foreign Affairs of the Russian
Federation, October 10, 2023 [https://mid.ru/en/foreign_policy/news/1908289/].";;;;;;;;;;;;;;;;;;;;;
283;16 October 2023;R;R8;Vorontsov stresses Russia’s policy is “exclusively defensive” and nuclear war “cannot be won and must never be fought,” but reductions in Russia’s arsenal would make NATO aggression realistic and NATO’s “nuclear sharing” had forced Russia to take “compensatory measures” by deploying nuclear weapons in Belarus.;"“Statement by Konstantin Vorontsov, Deputy Head of the Delegation of the Russian Federation, at the Thematic
Debate on “Nuclear Weapons” in the First Committee of the 78th Session of the UN General Assembly, New York,
16 October 2023,” The Ministry of Foreign Affairs of the Russian Federation, October 17, 2023
[https://mid.ru/en/foreign_policy/news/1909893/].";;;;;;;;;;;;;;;;;;;;;
284;18 October 2023;R;R5;Unanimous adoption of bill in the Duma to withdraw from CTBT.;"“The State Duma adopted the bill de-ratifying the Comprehensive Nuclear-Test-Ban Treaty,” The State Duma,
October 18, 2023 [http://duma.gov.ru/en/news/58109/].";;;;;;;;;;;;;;;;;;;;;
285;18 October 2023;R;R4;Slutsky: If US tests nuclear weapons, Russia is ready to follow suit.;"“The State Duma adopted the bill de-ratifying the Comprehensive Nuclear-Test-Ban Treaty,” The State Duma,
October 18, 2023 [http://duma.gov.ru/en/news/58109/].";;;;;;;;;;;;;;;;;;;;;
286;18 October 2023;W;W3;In response to Russia’s CTBT withdrawal, NNSA conducts a “subsurface chemical explosion” in Nevada to enhance detection of low-yield nuclear tests.;"“NNSA conducts experiment to improve U.S. ability to detect foreign nuclear explosions,” NNSA, October 18,
2023 [https://www.energy.gov/nnsa/articles/nnsa-conducts-experiment-improve-us-ability-detect-foreign-
nuclear-explosions-0].";;;;;;;;;;;;;;;;;;;;;
287;20 October 2023;R;R8;"Lavrov: Russia’s de-ratification of the CTBT does not mean it plans nuclear tests; move was response to US refusal to ratify the treaty.";"“Foreign Minister Sergey Lavrov’s interview with the 60 Minutes show, Moscow, October 20, 2023,” The
Ministry of Foreign Affairs of the Russian Federation, October 20, 2023
[https://mid.ru/en/foreign_policy/news/1910506/]; “Excerpts from briefing by Deputy Director of the Foreign Ministry Information and Press Department Alexey
Zaitsev, Moscow, October 20, 2023,” The Ministry of Foreign Affairs of the Russian Federation, October 20, 2023
[https://mid.ru/en/foreign_policy/news/1910603/]; “US’ nuclear test, if conducted, seen as step toward escalation – Russian UN mission,” TASS, October 20, 2023
[https://tass.com/politics/1694627].";;;;;;;;;;;;;;;;;;;;;
288;25 October 2023;R;R3;Russia conducts its annual strategic nuclear exercise Grom. Shoigu: Exercise rehearsed a “massive nuclear strike” in retaliation for an enemy attack.;"""В России прошла тренировка стратегических сил сдерживания, “ [Russia held a training exercise for its
strategic deterrent forces], TASS, October 25, 2023 [https://tass.ru/armiya-i-opk/19114107].";;;;;;;;;;;;;;;;;;;;;
289;25 October 2023;R;R4;Ryabkov: If the US moves toward full-scale nuclear testing, Russia would “have to respond in kind” and is planning accordingly.;"Ryabkov called the situation around the underground explosion in Nevada a political signal,” TASS, October 25,
2023 [https://tass.ru/politika/19108565].";;;;;;;;;;;;;;;;;;;;;
290;25 October 2023;R;R6;Belousov: US support to Ukraine has brought the situation close to “direct military confrontation,” but restarting dialogue was “doomed” unless NATO abandoned “East-oriented expansionist agenda” and “deterrence policy against Russia.”;"“Statement by Andrey Belousov, Deputy Head of the Delegation of the Russian Federation, at the Thematic
Debate on “Regional Disarmament and Security” in the First Committee of the 78th Session of the UN General
Assembly, New York, 25 October 2023,” The Ministry of Foreign Affairs of the Russian Federation, October 26, 2023
[https://mid.ru/en/foreign_policy/news/1912084/].";;;;;;;;;;;;;;;;;;;;;
291;30 October 2023;R;R6;Shoigu: US is using Ukraine to inflict a “strategic defeat” on Russia after NATO’s eastward expansion, as US “deliberately destroyed” arms control agreements. The West’s escalation risked a direct nuclear clash with “catastrophic consequences.” ;Ministry of Defence of Russia, Telegram, October 30, 2023 [https://t.me/s/mod_russia?before=31947].;;;;;;;;;;;;;;;;;;;;;
292;30 October 2023;R;R1;Shoigu: But Russia’s doctrine is unchanged, allowing nuclear use only in response to a nuclear strike or existential threat. CTBT withdrawal was aimed to “ensure balance” with the US.;Ministry of Defence of Russia, Telegram, October 30, 2023 [https://t.me/s/mod_russia?before=31947].;;;;;;;;;;;;;;;;;;;;;
293;2 November 2023;R;R5;"Putin officially revokes Russia’s ratification of the CTBT, citing the US’s refusal to ratify the treaty; Russia responds to “imbalance” and aims to “restore parity.”";"“Law revoking the ratification of the Comprehensive Nuclear-Test-Ban Treaty,” President of Russia, November 2,
2023 [http://en.kremlin.ru/catalog/keywords/78/events/72635].";;;;;;;;;;;;;;;;;;;;;
294;2 November 2023;R;R6;Medvedev: If it sent troops to Ukraine, Poland (“the hyena of Europe”) could “trigger” direct confrontation with Russia and Belarus, potentially leading to World War III.;"“Poland continues to prepare arms for Ukraine,” MILITARNYI, September 22, 2023
[https://mil.in.ua/en/news/poland-continues-to-prepare-arms-for-ukraine/]; “Poland at risk of direct confrontation with Russia, Belarus — Medvedev,” TASS, November 2, 2023
[https://tass.com/politics/1700959]; and “Russia and Poland: Notes for November 4,” Rossiyskaya Gazeta,
November 2, 2023 [https://rg.ru/2023/11/02/rossiia-i-polsha-zametki-k-4-noiabria.html].";;;;;;;;;;;;;;;;;;;;;
